"id","0","11"
"1_Title","title","タイトル"
"1_Info","Info","説明"
"1_Constraint","Constraint","制約"

"8800_Title","Ally of Justice","正義の味方"
"8800_Info","Successfully carry out sheriffkill execution.","正義執行を成功させる"
"8801_Title","Professional Sheriff","プロ執行官"
"8801_Info","Successfully carry out sheriffkill execution 10 times.","正義執行を10回成功させる"
"8802_Title","Final Wish","最期の望"
"8802_Info","Use your death to stop an emergency sabotage.","緊急サボタージュを自身の死を使い、停止させる。"
"8802_Constraint","・An <emergency sabotage> is in progress ・15 seconds <or less remaining on the emergency sabotage> ・The sheriffkill execution has <failed>.","・<緊急サボタージュ>が発生している・<緊急サボタージュの残り時間>が15秒以下・正義執行が<失敗>している。"
"11900_Title","Somehow Escaped...","なんとか逃れた..."
"11900_Info","Survived until the end of the game.","ゲーム終了時まで生存した"
"11901_Title","Agile Shyboy","機敏な恥ずかしがり屋"
"11901_Info","Survive in a <harsh> environment.","<過酷な>環境で、生き延びる"
"11901_Constraint","・<Time until death> is 3 seconds or less ・<Invincibility time after meeting> is 5 seconds or less","・<死亡するまでの時間>が3秒以下・<会議後の無敵時間>が5秒以下"
"11902_Title","Landmine Boy","地雷系ボーイ"
"11902_Info","Involved many people in the explosion when self‑destructing.","自爆時の爆発で多くの人数を巻き込んだ"
"11902_Constraint","・Self‑destruct explosion setting is ON ・Explosion involves <3> or more people excluding yourself","・自爆時の爆発設定がON・自爆時の爆発で自身を除く、<3>人以上巻き込む"
"12100_Title","Walk Walk","てくてく"
"12100_Info","Complete room tasks 10 times.","部屋タスクを10回こなす"
"12101_Title","Long Walk","てくてくてくてくてくてく"
"12101_Info","Complete room tasks 100 times.","部屋タスクを100回こなす"
"5000_Title","Master of Curses","呪いの使い手"
"5000_Info","Use Warlock special kill 5 times.","ウォーロックの特殊キルを5回使用する"
"5001_Title","Curse Rampage","呪いの暴走"
"5001_Info","Killed an impostor with a special kill.","特殊キルでインポスターをキルした"
"5001_Constraint","-Curses don't always work in a <good way>.","-呪いは必ずしも<良い方向に働く>わけではない。"
"23200_Title","All‑Round player","なんでもできるクルー君"
"23200_Info","Complete missions 3 times.","ミッションを3回クリアする"
"23201_Title","Ship Handyman","船の便利屋さん"
"23201_Info","Complete missions 15 times.","ミッションを15回クリアする"
"23202_Title","Mission Master","ミッションマスター"
"23202_Info","Complete missions 50 times.","ミッションを50回クリアする"
"14900_Title","Just Started Saving","貯金始めたて"
"14900_Info","Reach a total gain of 100","総取得が100に到達する"
"14901_Title","Path to Wealth","富豪への道"
"14901_Info","Reach a total gain of 1000","総取得が1000に到達する"
"14902_Title","Bloodletting Bonanza","出血大サービス"
"14902_Info","Total loss reaches <1000>","<総減少>が<1000>に到達する"
"14600_Title","Big Eater Fighter","大食いファイター"
"14600_Info","Eat snacks 10 times.","つまみぐいを10回行う"
"14601_Title","Master of Fast Eating?","早食いの達人?"
"14601_Info","• Eat snacks <3 times> within <1 turn>","・<1ターンの間>につまみぐい<を3回>行う"
"14601_Constraint","-Don't choke.","-喉を詰まらせないようにね。"
"13800_Title","Burning Ship","燃え上がる船"
"13800_Info","Won as Arsonist","アーソニストで勝利した"
"13801_Title","Burned‑out Spaceship","燃え尽きた宇宙船"
"13801_Info","Won with <10 or more survivors>","<10人以上生存>している状態で勝利した"
"14200_Title","Sunny Tomorrow","明日はハレ"
"14200_Info","Won as Jester","ジェスターで勝利した"
"14201_Title","Don't Vote Off Lightly","安易な追放はご法度"
"14201_Info","Won with <4 or fewer players left>","<4人以下の盤面>で勝利した"
"14201_Constraint","・10 or more players at game start","・ゲーム開始時の人数が10人以上"
"15000_Title","Welcome to the World of Yokai","妖怪の世界へようこそ"
"15000_Info","Win as the Spirit Fox","妖狐で勝利する"
"15001_Title","Aura That Can't Be Deceived","誤魔化せないオーラ"
"15001_Info","Be <tell> die","<占い師に占われ>死亡する"
"15002_Title","Unidentified Lifeform","未確認生命体"
"15002_Info","Win <without ever being notified>","<一度も通知されることなく>勝利する"
"15002_Constraint","・Game end day exceeds <5 days>","・ゲーム終了日が<5日>を超える"
"13900_Title","Chef's Mission","料理人の使命"
"13900_Info","Hand out food to everyone and get a bonus victory","料理を全員に渡し、追加勝利する"
"13901_Title","Chef's Wish","料理人の願望"
"13901_Info","Hand out food to everyone and win solo","料理を全員に渡し、単独勝利する"
"13902_Title","Chef's Roast","シェフの丸焼き"
"13902_Info","Get <voted out> by <Fangle> and win <solo>","<ファングル>で<追放>され<単独>勝利する"
"13902_Constraint","・Play a match with <Fangle> ・Win <solo>","・<ファングル>で試合を行う・<単独>勝利する"
"14800_Title","Santa's Part‑Time Job","サンタのバイト"
"14800_Info","Give out 5 presents total","プレゼントを通算5個渡す"
"14801_Title","Night Before Christmas Worker","聖夜の仕事人"
"14801_Info","Give out 50 presents total","プレゼントを通算50個渡す"
"14802_Title","Black Santa","ブラックサンタ"
"14802_Info","Give out debuffs 10 times","デバフを10回プレゼントする"
"14400_Title","I'd Love You Even Reborn","生まれ変わっても貴方が好き"
"14400_Info","Successfully confess love 5 times","告白を5回成功させる"
"14401_Title","Unrequited Love","実らぬ恋"
"14401_Info","Fail a confession","告白に失敗する"
"14402_Title","Remembered Love","思い出した恋"
"14402_Info","Wake up from <amnesia> and confess","<アムネシアから目覚め>、告白を行う"
"14402_Constraint","-It might still be possible even after <remembering>","-<思い出して>からでも間に合うかもしれない"
"15500_Title","Revenge","復讐"
"15500_Info","Get a bonus victory as the Betrayer","裏切者で追加勝利する"
"15501_Title","Thorough Revenge","徹底的復讐"
"15501_Info","Vote out your target in a meeting <you called>","<自身が招集した会議>でターゲットを<追放>する"
"15400_Title","Activated Human Bomb","起動した人体爆弾"
"15400_Info","Win as the Terrorist","テロリストで勝利する"
"13300_Title","Mission Accomplished...","ミッション達成..."
"13300_Info","Get a bonus victory as the Count Killer","カウントキラーで追加勝利する"
"13301_Title","Excellent Assassin","優秀な暗殺者"
"13301_Info","Win solo as the Count Killer","カウントキラーで単独勝利する"
"14100_Title","Creepy Incident","不気味な事件"
"14100_Info","Curse‑kill 5 or more at once","5人以上同時に呪殺する"
"14101_Title","Cursed Spaceship","呪われた宇宙船"
"14101_Info","Win as the Cursed Maker","カースメーカーで勝利する"
"13400_Title","Strange World","フシギな世界"
"13400_Info","Total count reaches 100","総合カウントが100に到達"
"13401_Title","Which One's Real?","どちらが本物?"
"13401_Info","Win solo <without performing a kill>","<キルを行わず>、単独勝利する"
"13402_Title","Chaotic World","混沌としたセカイ"
"13402_Info","Total count reaches 500","総合カウントが500に到達"
"14500_Title","Independent Investigation! What's the truth behind the buzzed scene!?","独自調査！話題の現場の真相は!?"
"14500_Info","Report the body of the investigated target","調査対象の死体を通報する"
"14501_Title","Spread Fake News","拡散されてしまった誤報"
"14501_Info","Your guess <failed>","推測が<失敗>した"
"14502_Title","Big Scoop","大型スクープ"
"14502_Info","Make a <successful> guess","推測を<成功>させる"
"15200_Title","^・^","^・^"
"15200_Info","Survive until the end of the game","ゲーム終了まで生存する"
"15201_Title","Smooth Operator","世渡り上手"
"15201_Info","Win with <5 or fewer players>","<5>人以下の盤面で勝利する"
"15202_Title","Lack of Exercise","運動不足"
"15202_Constraint","-Don't float <without being seen>","-<視認なく>て浮かないように"
"15202_Info","Stay still for a total of 100 seconds.","合計100秒動かない。"
"15203_Title","Ship Patrol","船の巡回員"
"15203_Info","Keep moving until the end of the game","ゲーム終了までずっと動き続ける"
"15203_Constraint","-It might make you look suspicious.","-逆に怪しい気がする"
"13700_Title","You Are My Pawns","君たちは僕の手駒"
"13700_Info","Win as the Egoist","エゴイストで勝利する"
"14300_Title","Execution","処刑執行"
"14300_Info","Vote out your target and win","ターゲットを追放し、勝利する"
